year,le
1960,67.7
1961,68.3
1962,68.6
1963,69.7
1964,70.1
1965,70.2
1966,71
1967,71.3
1968,71.6
1969,71.8
1970,72
1971,72.9
1972,73.5
1973,73.8
1974,74.4
1975,75.1
1976,75.5
1977,75.9
1978,76
1979,76.3
1980,76.1
1981,76.4
1982,76.9
1983,77
1984,77.4
1985,77.7
1986,78.1
1987,78.5
1988,78.4
1989,78.8
1990,78.8
1991,79.1
1992,79.2
1993,79.3
1994,79.7
1995,79.5
1996,80.2
1997,80.4
1998,80.5
1999,80.6
2000,81.1
2001,81.4
2002,81.6
2003,81.8
2004,82
2005,81.9
2006,82.3
2007,82.5
2008,82.6
2009,82.9
2010,82.8
2011,82.6
2012,83.1
2013,83.3
2014,83.6
2015,83.8
2016,84
