year,Japan_le,Sierra_Leone_le
1960,67.70,30.40
1961,68.30,30.60
1962,68.60,30.80
1963,69.70,31.00
1964,70.10,31.30
1965,70.20,31.60
1966,71.00,32.00
1967,71.30,32.50
1968,71.60,33.10
1969,71.80,33.80
1970,72.00,34.60
1971,72.90,35.40
1972,73.50,36.30
1973,73.80,37.10
1974,74.40,37.80
1975,75.10,38.50
1976,75.50,39.00
1977,75.90,39.60
1978,76.00,40.00
1979,76.30,40.40
1980,76.10,40.60
1981,76.40,40.80
1982,76.90,40.90
1983,77.00,40.80
1984,77.40,40.60
1985,77.70,40.30
1986,78.10,39.90
1987,78.50,39.30
1988,78.40,38.70
1989,78.80,38.00
1990,78.80,37.30
1991,79.10,36.70
1992,79.20,36.20
1993,79.30,35.90
1994,79.70,35.70
1995,79.50,35.70
1996,80.20,36.00
1997,80.40,36.40
1998,80.50,37.10
1999,80.60,37.80
2000,81.10,38.70
2001,81.40,39.70
2002,81.60,40.70
2003,81.80,41.70
2004,82.00,42.70
2005,81.90,43.60
2006,82.30,44.60
2007,82.50,45.50
2008,82.60,46.40
2009,82.90,47.30
2010,82.80,48.20
2011,82.60,49.00
2012,83.10,49.80
2013,83.30,50.40
2014,83.60,51.00
2015,83.80,51.40
2016,84.00,51.80
