year,le
1960,52.6
1961,53.1
1962,53.5
1963,54
1964,54.7
1965,55.4
1966,56.1
1967,56.8
1968,57.4
1969,58.1
1970,58.7
1971,59.2
1972,59.7
1973,60.1
1974,60.6
1975,61
1976,61.5
1977,61.9
1978,62.2
1979,62.6
1980,62.9
1981,63.2
1982,63.5
1983,63.8
1984,64
1985,64.3
1986,64.6
1987,64.8
1988,65
1989,65.2
1990,65.4
1991,65.6
1992,65.8
1993,65.9
1994,66.1
1995,66.3
1996,66.6
1997,66.9
1998,67.2
1999,67.4
2000,67.7
2001,68
2002,68.2
2003,68.5
2004,68.9
2005,69.1
2006,69.5
2007,69.8
2008,70.1
2009,70.4
2010,70.7
2011,71
2012,71.2
2013,71.5
2014,71.7
2015,71.9
2016,72
